day	temperaturemin	temperaturemax	precipitation	avgwindspeed	fastest2minwindspeed	fastest5secwindspeed
1	48.9	68	0.45	12.75	25.05	31.99
2	32	55.9	0	3.13	12.97	21.03
3	28.9	62.1	0	2.24	14.09	14.99
4	46	69.1	0	4.47	14.09	16.11
5	57	72	0.86	8.05	21.03	29.08
6	50	71.1	0.13	8.05	17.9	21.92
7	44.1	66	0.21	6.71	19.91	25.05
8	39.9	66.9	0.3	9.84	25.05	31.09
9	30	55	0	7.61	23.04	29.08
10	27	44.1	0	4.7	14.99	21.03
11	24.1	51.1	0	3.13	12.08	14.09
12	36	64.9	0	3.58	14.99	17
13	48	69.1	0	6.93	17	21.03
14	50	73.9	0	8.5	21.03	25.05
15	57	73.9	0	13.2	23.94	29.08
16	39.9	63	0	7.61	14.99	21.92
17	28.9	39.9	0	8.72	17.9	21.92
18	27	35.1	0.29	4.7	10.07	12.08
19	34	54	0	6.93	17	23.04
20	26.1	48	0	4.92	16.11	21.03
21	28	35.1	0.8	5.82	12.97	17
22	33.1	41	0.08	2.01	8.05	12.08
23	32	50	0	2.68	10.07	14.99
24	30	48.9	0	2.91	14.09	17
25	30.9	46.9	0	6.49	19.91	25.05
26	21.9	48.9	0	5.82	17	21.03
27	32	64	0	11.41	19.91	23.04
28	30.9	57.9	0	8.95	17	29.08
29	19.9	37	0	6.93	17	25.95
30	24.1	48.9	0	5.82	17.9	21.03
31	25	39.9	0	5.37	12.97	23.04
32	30	34	0.44	4.25	12.97	14.99
33	34	45	0	5.59	12.97	14.99
34	27	45	0	7.83	17	21.92
35	25	50	0	10.51	27.96	31.99
36	19.9	39.9	0	7.83	17.9	23.94
37	15.1	39	0	6.04	17	21.03
38	35.1	52	0	8.05	16.11	19.91
39	27	48	0	3.13	14.99	17.9
40	21.9	42.1	0	3.36	14.09	19.91
41	26.1	46	0	2.91	12.08	16.11
42	19.9	50	0	4.03	14.99	19.91
43	26.1	64	0	4.03	19.91	23.04
44	37.9	50	0.59	6.71	21.03	25.95
45	28	53.1	0.14	8.5	31.99	40.04
46	21.9	39.9	0	4.47	12.08	14.99
47	23	39	0	4.92	14.99	21.03
48	19	48	0	7.61	23.94	29.08
49	26.1	45	0	8.72	23.94	40.04
50	19	50	0	6.93	17.9	21.03
51	41	66	0	16.11	25.95	31.99
52	50	73	0.01	7.16	21.92	25.05
53	48.9	73.9	0	9.62	27.96	33.11
54	37	55	0	7.61	17.9	25.05
55	28	57	0	3.8	12.08	14.99
56	42.1	51.1	0.56	6.71	16.11	21.03
57	41	61	0	2.46	8.95	12.08
58	34	64.9	0	2.46	10.07	14.99
59	37.9	61	0	4.92	14.09	17
60	41	66.9	0.2	10.29	27.96	34.9
61	46.9	68	0.96	12.97	38.03	57.94
62	41	69.1	0	11.41	25.95	33.11
63	34	50	0	6.93	17	23.04
64	26.1	64	0	8.5	21.92	29.97
65	37.9	55	0	6.04	12.97	17
66	35.1	70	0	8.95	25.05	31.09
67	30	55	0	6.93	21.92	25.95
68	30.9	59	0	5.37	14.09	17
69	37	71.1	0	4.25	12.97	16.11
70	39.9	70	0	5.14	16.11	21.03
71	37.9	66.9	0	3.8	12.97	16.11
72	44.1	80.1	0	4.47	14.09	17
73	54	81	0	9.17	21.03	23.94
74	57	81	0	9.4	21.92	25.95
75	37.9	66	2.14	8.05	16.11	21.03
76	33.1	48.9	0	7.38	19.91	29.08
77	28	48.9	0	4.25	14.09	19.91
78	26.1	63	0	9.4	23.04	29.97
79	48.9	77	0	6.71	21.92	25.05
80	50	63	0	9.17	21.92	25.95
81	43	77	0	5.14	17	21.92
82	53.1	82.9	0	7.83	17	21.03
83	57	86	0	3.8	12.97	19.91
84	51.1	79	0	6.71	21.92	25.05
85	44.1	73.9	0	6.04	16.11	21.92
86	59	87.1	0.04	5.14	14.09	17.9
87	61	86	0	5.14	21.03	23.94
88	41	61	0.18	6.26	21.92	25.05
89	34	70	0	0.22	8.05	12.08
90	46.9	79	0	7.16	17	19.91
91	59	77	0.01	9.4	21.92	25.95
92	60.1	82.9	0.02	6.04	14.99	21.03
93	53.1	86	0	4.03	16.11	21.03
94	55.9	82	0	9.62	17.9	27.96
95	41	57.9	0	3.58	14.99	23.94
96	30	57	0.01	2.46	16.11	25.95
97	32	48	0.12	8.05	17.9	27.96
98	27	55.9	0	2.91	19.91	25.05
99	32	55.9	0	0.89	12.97	14.99
100	32	64	0	2.01	12.97	16.11
101	46	59	0.73	6.49	17.9	25.05
102	55.9	75	0.93	7.38	25.05	33.11
103	46	66.9	0	6.49	14.99	21.92
104	48.9	70	0.01	9.17	17	21.03
105	42.1	77	1.76	12.75	25.05	29.97
106	43	60.1	0	14.09	29.97	48.09
107	46.9	72	0	7.61	19.91	29.08
108	42.1	66.9	0	6.04	14.99	19.91
109	44.1	57.9	0.04	4.47	12.97	16.11
110	44.1	71.1	0	4.03	14.09	21.03
111	39.9	77	0	2.24	8.95	14.99
112	48.9	84	0	5.59	12.97	16.11
113	52	82.9	0	11.41	21.92	25.95
114	57.9	82.9	0	9.84	16.11	17.9
115	61	87.1	0	10.29	23.94	29.97
116	64.9	84.9	0	9.62	17.9	25.05
117	63	82.9	0.25	11.18	21.03	23.94
118	59	75.9	0	6.71	16.11	21.92
119	53.1	80.1	0	6.49	17.9	25.05
120	46.9	87.1	0	6.49	17.9	23.94
121	59	91.9	0	6.26	17	21.03
122	63	90	0	8.72	14.99	19.91
123	57	71.1	0	9.62	17	21.03
124	53.1	57	0.08	6.49	14.09	17
125	55	66	0.01	2.68	6.93	8.95
126	46.9	66.9	0	13.42	23.94	31.99
127	42.1	70	0	12.53	25.05	31.09
128	50	69.1	0.04	11.41	17.9	23.94
129	63	81	0.31	8.28	21.03	25.95
130	63	82.9	0	2.91	10.07	12.97
131	61	87.1	0	4.03	12.97	14.99
132	66	82	0.96	5.14	12.97	14.99
133	51.1	73	0	8.72	21.03	23.94
134	44.1	75	0	4.25	12.97	16.11
135	53.1	82	0	10.74	19.91	21.92
136	62.1	84	0.02	13.87	23.94	29.08
137	55.9	69.1	0.01	5.59	12.97	17.9
138	48.9	70	0	7.83	16.11	21.92
139	43	73	0	3.58	12.97	16.11
140	46.9	82.9	0	4.92	17	21.92
141	54	88	0	3.36	17	19.91
142	63	81	0	8.05	14.09	19.91
143	55	82	0	6.93	14.99	19.91
144	53.1	82	0	4.7	12.08	16.11
145	55.9	86	0	4.92	12.97	16.11
146	61	91	0	7.61	12.97	16.11
147	61	91	0	7.83	14.09	17
148	61	91	0	7.61	16.11	17.9
149	62.1	91.9	0	4.7	12.08	14.09
150	63	90	0	6.26	14.09	17
151	64	91	0	6.49	14.09	19.91
152	64	89.1	0	6.71	12.97	16.11
153	66	82.9	0.13	7.38	14.09	17.9
154	64.9	77	1.53	9.62	17.9	25.95
155	60.1	90	0	10.07	23.94	29.08
156	64	90	0.03	7.16	21.03	25.05
157	60.1	84	0.22	4.7	12.97	17
158	66	93.9	0	8.72	16.11	19.91
159	73	96.1	0	8.05	14.09	19.91
160	68	91.9	0.39	5.59	36.01	44.07
161	69.1	87.1	0	6.49	14.99	19.91
162	62.1	82.9	0.02	2.91	12.08	14.09
163	62.1	84.9	0	3.8	12.97	17.9
164	64	79	0.18	3.8	14.09	17.9
165	60.1	70	0.01	6.71	14.99	17
166	59	75	0.01	4.25	12.97	14.99
167	57.9	82.9	0.03	4.25	14.99	19.91
168	64	89.1	0.06	3.58	10.07	14.09
169	63	96.1	0	3.13	12.08	14.09
170	70	97	0.38	7.16	27.96	38.03
171	64.9	82.9	0.2	3.13	12.97	19.91
172	62.1	87.1	0	2.91	12.97	17
173	62.1	91	0.13	4.25	19.91	25.05
174	66	84.9	0.12	3.8	12.97	14.99
175	66.9	89.1	0.31	5.37	14.99	19.91
176	68	91	0	5.37	14.09	16.11
177	69.1	95	0.53	4.92	29.08	33.11
178	69.1	93	0	7.38	21.03	23.94
179	73	93.9	0	9.17	17.9	23.04
180	71.1	93	0.18	7.83	19.91	25.05
181	71.1	89.1	0	4.25	16.11	21.92
182	66	86	0	6.93	17	21.92
183	63	84	0	3.36	12.08	14.09
184	63	86	0	6.93	12.97	17
185	64.9	89.1	0	9.17	16.11	19.91
186	64.9	91.9	0	9.62	17.9	23.04
187	71.1	93.9	0	6.49	12.97	16.11
188	68	93.9	0	4.47	17.9	23.04
189	70	95	0	5.82	17.9	21.92
190	71.1	98.1	0	6.93	21.03	25.05
191	72	95	0.11	5.82	19.91	23.04
192	70	95	0.82	10.07	36.01	42.95
193	70	89.1	0	3.36	12.08	17
194	64	81	0	2.91	8.95	12.97
195	61	87.1	0	3.36	10.07	14.09
196	66.9	90	0	7.38	14.99	17.9
197	70	91.9	0	8.05	16.11	19.91
198	70	96.1	2.05	6.49	25.05	29.97
199	71.1	91	0.08	5.82	14.99	17.9
200	71.1	93.9	0	7.38	17.9	21.92
201	72	88	0	5.82	14.09	19.91
202	62.1	84	0	6.71	17	19.91
203	57.9	84.9	0	5.14	17.9	23.04
204	62.1	84.9	0	3.8	14.99	21.03
205	64	88	0	3.8	14.09	17
206	64.9	88	0	5.59	14.09	17
207	66	91.9	0	1.79	10.07	17
208	69.1	93.9	1.18	5.59	23.04	27.96
209	69.1	90	0.57	4.7	38.03	53.02
210	66.9	89.1	0	4.25	16.11	19.91
211	72	88	0.13	5.59	23.94	29.97
212	70	89.1	0	6.26	14.99	17
213	69.1	91.9	0	4.47	14.09	17
214	69.1	91.9	0	3.8	14.09	16.11
215	71.1	93	0	5.14	12.97	17.9
216	70	96.1	0	4.7	10.07	14.09
217	72	98.1	0.03	3.8	12.97	14.99
218	73.9	97	0	2.46	12.08	14.09
219	75	99	0	2.24	12.97	14.99
220	75.9	102	0.17	4.47	16.11	19.91
221	78.1	104	0	4.25	23.04	25.95
222	75	104	0.05	4.92	19.91	25.95
223	73	84.9	0	7.16	14.99	17.9
224	66.9	91.9	0	5.14	12.97	14.99
225	70	98.1	0	5.14	14.99	21.03
226	71.1	93.9	0	6.49	14.99	17.9
227	70	99	0	6.04	14.99	17.9
228	75.9	100.9	0	11.63	17.9	23.04
229	73.9	97	0.01	6.71	21.03	27.96
230	66.9	90	0	6.49	17	19.91
231	70	97	0	9.84	17	21.03
232	75	102.9	0	10.51	19.91	23.94
233	73.9	105.1	0.06	8.28	23.94	36.01
234	71.1	95	0	4.7	12.08	14.99
235	75	90	0.53	5.82	12.08	19.91
236	73.9	99	0	7.38	14.09	16.11
237	75	99	0	8.95	17	21.03
238	72	98.1	0.06	6.04	21.03	29.97
239	71.1	90	0	5.82	12.97	16.11
240	71.1	93.9	0	5.82	12.97	19.91
241	73	93	0	6.49	12.08	17.9
242	73	90	0	5.59	12.97	19.91
243	68	91	0	5.37	14.09	17
244	69.1	87.1	0	8.5	17.9	21.92
245	61	88	0	7.61	16.11	21.03
246	59	91	0	3.36	10.07	16.11
247	66	96.1	0	3.36	10.07	16.11
248	66	96.1	0	4.25	10.07	17.9
249	69.1	95	0	5.82	12.08	14.99
250	69.1	93	0	5.14	14.09	17
251	64.9	93	0	4.47	14.09	17
252	60.1	95	0	3.58	12.08	16.11
253	66.9	100.9	0	7.16	16.11	21.92
254	73.9	99	0	12.08	29.08	33.11
255	66	91	0	5.37	14.99	17
256	63	91	0	6.71	16.11	21.03
257	70	82.9	1.91	6.49	14.09	16.11
258	61	82	0	5.59	16.11	21.92
259	53.1	75	0	8.05	17	21.03
260	51.1	75.9	0	7.61	17	21.03
261	53.1	78.1	0	8.5	17.9	23.04
262	57	75.9	0	8.05	14.99	17.9
263	64.9	73.9	0.31	8.28	14.99	17.9
264	66	81	0	5.82	14.09	17
265	69.1	91	0	2.24	8.95	12.97
266	66	91.9	0	4.47	12.97	17
267	64.9	86	0	5.59	12.08	14.99
268	59	89.1	0	4.47	10.07	17.9
269	63	89.1	0	5.82	12.08	14.99
270	64.9	91	0	4.47	12.08	14.99
271	64	84.9	0	6.49	16.11	21.03
272	50	79	0	6.71	19.91	21.92
273	48	80.1	0	6.71	16.11	21.92
274	53.1	82	0	6.71	14.09	17
275	61	82	0	8.05	14.09	17
276	63	84.9	0	3.36	10.07	14.09
277	68	87.1	0	4.7	12.97	17
278	68	78.1	0.13	5.82	10.07	16.11
279	68	82.9	0	4.25	10.07	14.09
280	64	90	0	1.79	8.05	10.07
281	64.9	93	0	1.79	8.05	12.97
282	66	93.9	0	4.7	10.07	14.99
283	64	88	0.04	6.49	17.9	21.03
284	51.1	69.1	0	7.61	14.99	21.92
285	43	73.9	0	4.7	12.97	16.11
286	43	75	0	2.01	12.08	14.99
287	46	78.1	0	2.68	12.08	14.99
288	48	80.1	0	3.13	10.07	17
289	51.1	79	0	2.01	8.95	12.97
290	54	84	0	3.36	8.95	12.08
291	63	84.9	0.04	5.14	12.97	16.11
292	70	84	0.09	10.51	19.91	25.05
293	50	80.1	0	4.7	17	21.92
294	45	81	0	2.91	14.09	16.11
295	55.9	82.9	0	5.82	14.99	17
296	64	82.9	0	8.95	16.11	21.92
297	70	78.1	1.72	6.93	21.03	25.95
298	59	70	0.08	11.63	17	23.94
299	60.1	71.1	2.19	6.26	12.97	16.11
300	55.9	75	0.37	5.37	12.97	14.99
301	44.1	64.9	0	5.82	16.11	21.03
302	37	61	0	4.47	16.11	19.91
303	33.1	66.9	0	1.12	8.05	12.08
304	37.9	73.9	0	1.79	8.95	14.99
305	53.1	78.1	0	4.47	19.91	25.95
306	46.9	62.1	0	12.3	23.04	29.08
307	39.9	66	0	5.37	14.99	19.91
308	35.1	66	0	2.01	14.09	17
309	36	68	0	5.59	17	21.92
310	43	63	0	9.4	19.91	25.95
311	30	55	0	3.8	12.97	16.11
312	32	54	0	2.68	12.08	12.97
313	34	61	0	4.25	12.08	14.99
314	35.1	57.9	0	4.7	16.11	23.04
315	30	57.9	0	1.34	10.07	12.97
316	37	66	0.04	7.16	16.11	17.9
317	46.9	73.9	0	4.03	12.97	14.99
318	48.9	78.1	0	6.04	16.11	19.91
319	39	66	0.32	11.41	21.92	31.09
320	34	51.1	0	6.26	17	23.04
321	28	60.1	0	4.25	17	23.04
322	35.1	70	0	1.57	12.08	17
323	46	61	0	3.13	8.95	12.97
324	45	66	0	3.36	12.08	14.09
325	46.9	78.1	0	7.61	21.03	25.05
326	51.1	77	0	14.54	29.08	34.9
327	35.1	51.1	0	6.49	14.99	23.04
328	25	50	0	3.36	14.09	17
329	36	48.9	0.06	3.13	10.07	14.99
330	44.1	64	0.06	5.82	17.9	21.03
331	39	64	0	5.59	14.09	21.03
332	32	57	0	4.47	14.99	17.9
333	36	63	0	3.36	12.08	14.09
334	32	57	0	2.68	12.97	14.99
335	27	57.9	0	4.7	14.09	17
336	33.1	54	0	5.82	14.99	17.9
337	34	62.1	0.04	10.74	23.94	33.11
338	36	45	0	5.82	16.11	21.03
339	36	53.1	0	4.92	17	23.04
340	26.1	45	0	7.61	19.91	27.96
341	25	52	0	3.36	12.08	14.09
342	39.9	71.1	0	5.37	14.09	16.11
343	48.9	72	0	5.14	12.08	14.99
344	55.9	81	0	7.61	16.11	17.9
345	51.1	73.9	0	3.58	10.07	16.11
346	55.9	79	0	8.72	21.92	25.95
347	54	75.9	0.01	9.17	23.94	29.08
348	46	66.9	0	3.58	8.05	12.97
349	37.9	46.9	0.97	10.29	16.11	23.94
350	35.1	53.1	0.24	10.07	25.05	36.91
351	28	44.1	0	6.26	14.99	19.91
352	21	46	0	1.12	6.93	10.07
353	28.9	53.1	0.02	3.13	12.97	14.99
354	28	57.9	0	2.91	14.09	17
355	39.9	48	0.01	10.07	17	23.94
356	43	50	0	7.61	14.09	17.9
357	46.9	66.9	0.16	10.74	25.05	29.97
358	32	57.9	0	2.91	12.08	14.09
359	30.9	54	0	4.47	12.97	17
360	35.1	43	0.91	6.93	17.9	25.95
361	36	57.9	0	3.58	14.09	16.11
362	36	64	0.04	6.04	21.03	25.95
